row,final_classification,tier,signal,signal_count,g300_id,g300_name,g300_website,g300_created,g300_child_offices,g300_contacts,g300_opportunities,candidate_id,candidate_name,candidate_website,candidate_created,candidate_created_by,candidate_is_older,candidate_child_offices,candidate_contacts,candidate_opportunities,classifier_call,classifier_confidence,classifier_rationale,skeptic_agrees,skeptic_call,skeptic_rationale
11,duplicate,1,name_exact,1,0016g00001ANx1bAAD,CMS Legal,www.cms.law,2021-01-20T19:31:35.000+0000,106,6828,3358,001Px00000heZGcIAM,CMS,,2026-07-25T18:09:21.000+0000,Kieran Hansen,N,1,1,0,duplicate,high,"This is an exact-name 'CMS' Firm record with a blank website, created in the 2026-07-25 Kieran Hansen batch. Its one child Office is in Milano, Italy, and its one contact has a cmslegal.com email, which is a CMS domain. Nothing suggests a separate legal entity, so it is a redundant CMS Legal Firm record.",Y,duplicate,"Checked the live record. 001Px00000heZGcIAM is a Firm named exactly 'CMS' with no website, created by Kieran Hansen on 2026-07-25. Its one Office (001Px00000heWCwIAM) is on Via Sestini in Milano, Italy, and its one contact, Khady Ndiaye, has a cmslegal.com email (CMS's legacy domain). The name is the plain brand, not a named country entity. The G300 CMS Legal record already holds the Italian member as Offices ('CMS Adonnino Ascoli & Cavasola Scamoni' in Milan and Rome), so this is a redundant CMS Firm record. Its Office and contact should be moved under CMS Legal."
12,duplicate,1,name_exact,1,0016g00001ANx1bAAD,CMS Legal,www.cms.law,2021-01-20T19:31:35.000+0000,106,6828,3358,001Px00000heZgvIAE,CMS,,2026-07-25T18:08:12.000+0000,Kieran Hansen,N,1,2,0,duplicate,medium,"This is an exact-name 'CMS' Firm record from the 2026-07-25 Kieran Hansen batch, with a blank website and an Office that has no address. The name alone makes it a redundant CMS Firm record. However, both of its contacts (James Leach, Chief Learning Officer, and Sohayla King) have africa-legal.com emails, which points to Africa Legal, a legal media and training organisation, not CMS. The contacts look misattached and should be checked before any merge.",Y,duplicate,"Checked the live record. 001Px00000heZgvIAE is a Firm named exactly 'CMS' with no website, created by Kieran Hansen on 2026-07-25 at 18:08, one minute before the other 'CMS' record in row 11. Its Office (001Px00000heWCvIAM) has no address. Judged by the Firm record itself, it is a redundant CMS record. The caveat still holds: both contacts (James Leach, Chief Learning Officer, and Sohayla King) have africa-legal.com emails and were created in the same 19:46 contact load. That load shows other misattachments, for example a solomonedwards.com contact filed under 'Salesforce' and an archerlaw.com contact under 'Laffey Bucci Law Firm'. The same batch also made an 'Africa Legal' Office (001Px00000heW0LIAU) under 'Africa Professional Services Group'. Before any merge, move those two contacts there rather than into CMS Legal. Medium confidence."
13,duplicate,1,name_exact,1,001Px00000VvXxxIAF,"Cadwalader, Wickersham & Taft LLP",www.cadwalader.com,2021-01-20T19:30:27.000+0000,6,817,540,001Px00000heZHGIA2,"Cadwalader, Wickersham & Taft LLP",,2026-07-25T18:09:21.000+0000,Kieran Hansen,N,1,1,0,duplicate,high,"The name is identical to the G300 record. It is a blank-website Firm created 2026-07-25 by Kieran Hansen with one child office (no location) and one contact, which fits the known duplicate batch. Nothing suggests a separate entity.",Y,duplicate,"Checked live. The name is exactly 'Cadwalader, Wickersham & Taft LLP', with a blank website. Kieran Hansen created it on 2026-07-25 and it has one child office with no address. That matches the known duplicate batch, and nothing points to a separate entity. One detail the reviewer left out: the only contact is George Roggie, @college.harvard.edu, probably a student or summer hire. Confirm that contact belongs with Cadwalader before re-parenting it, but it does not change the fact that this Firm record is redundant."
14,duplicate,1,name_exact,1,0016g00001ANuIZAA1,Cahill Gordon & Reindel LLP,www.cahill.com,2021-01-20T19:30:27.000+0000,5,234,201,001Px00000heRXfIAM,Cahill Gordon & Reindel LLP,,2026-07-25T18:08:52.000+0000,Kieran Hansen,N,1,2,0,duplicate,high,"The name is identical to the G300 record. It is a blank-website Firm created 2026-07-25 by Kieran Hansen whose child office is in New York with website cahill.com. Its contacts include Rahul Sarkar (Counsel, @cahill.com), so this is the same firm.",Y,duplicate,"Checked live. The name matches exactly, and it is a blank-website Firm created 2026-07-25 by Kieran Hansen. Its child office is in New York with website cahill.com. Contacts are Rahul Sarkar (Counsel, @cahill.com) and Brynn Madigan (Marketing Assistant, @cahil.com, a typo of cahill.com). This is the same firm."
15,duplicate,1,name_exact,1,001Px00000VvqQAIAZ,Chapman and Cutler LLP,www.chapman.com,2021-01-20T19:33:24.000+0000,6,99,121,001Px00000j5O4CIAU,Chapman Cutler,,2026-08-20T18:15:37.000+0000,Kieran Hansen,N,1,0,0,duplicate,high,"This is a short form of 'Chapman and Cutler LLP' (the 'and' and 'LLP' are dropped). It is a blank-website Firm from the 2026-08-20 Kieran Hansen batch with its office in Chicago, IL, where Chapman and Cutler is headquartered.",Y,duplicate,"Checked live. 'Chapman Cutler' is a blank-website Firm created 2026-08-20 by Kieran Hansen, with its only office in Chicago, IL. From general knowledge, that is where Chapman and Cutler LLP is headquartered. It has no contacts or opps. The name is a short form of the G300 firm, so this is a redundant record."
16,duplicate,1,name_exact,1,001Px00000VvqQAIAZ,Chapman and Cutler LLP,www.chapman.com,2021-01-20T19:33:24.000+0000,6,99,121,001Px00000jAKopIAG,Chapman Cutler,,2026-08-22T10:39:40.000+0000,Kieran Hansen,N,1,1,18,duplicate,high,"This is the same short-form name, from the 2026-08-22 Kieran Hansen batch, with its office in Chicago, IL. The 'Research Services' contact email @champman.com is a typo of chapman.com. It is also a duplicate of row 15's record, and it has 18 opps to reassign.",Y,duplicate,"Checked live. This is a second 'Chapman Cutler' Firm, created 2026-08-22 by Kieran Hansen, with its office in Chicago, IL. Its 18 opps are subscription opps named 'CHAPMAN CUTLER 600R15/600R16/600R17/600R18/582R61/602V6R04/600EBR19' (2019-2021). The contact 'Research Services' uses @champman.com, a typo of chapman.com. It duplicates both the G300 record and row 15's record."
17,duplicate,1,"name_exact, website_domain_match",2,0016g00001ANvsjAAD,Charles Russell Speechlys,www.charlesrussellspeechlys.com,2021-01-20T19:33:29.000+0000,14,1185,599,001Px00000j6CfkIAE,Charles Russell Speechlys LLP,www.charlesrussellspeechlys.com,2026-08-21T02:45:32.000+0000,Sneha Mekala,N,1,1,1,duplicate,high,"The name adds only 'LLP' and the website is identical (www.charlesrussellspeechlys.com). The office is in London, though its country is wrongly set to United States. The contact uses @crsblaw.com, which is CRS's email domain (general knowledge).",Y,duplicate,"Checked live. 'Charles Russell Speechlys LLP' has the same website as the G300 record and Industry Legal Services. Sneha Mekala created it on 2026-08-21. The office is in London, but its BillingCountry is wrongly set to United States. The contact is Morgan Ring, @crsblaw.com, mailing country UK; from general knowledge crsblaw.com is CRS's email domain. The one opp, a British Legal Awards 2026 delegate sale for Morgan Ring at 'Charles Russell Speechlys LLP', confirms this is the same firm."
18,duplicate,1,name_exact,1,001Px00000VwSDBIA3,Chiesa Shahinian & Giantomasi PC,www.csglaw.com,2021-01-20T19:33:54.000+0000,4,124,274,001Px00000j5NGXIA2,Chiesa Shahinian & Giantomasi Pc,,2026-08-20T18:19:07.000+0000,Kieran Hansen,N,1,2,20,duplicate,high,"The name differs only in case ('Pc' vs 'PC'). It is a blank-website Firm from the 2026-08-20 Kieran Hansen batch with its office in West Orange, NJ, which is CSG's home office. Its contacts are Library and Multipub, and it has 20 opps.",Y,duplicate,"Checked live. The name differs only in case ('Pc'). It is a blank-website Firm created 2026-08-20 by Kieran Hansen, with its office in West Orange, NJ, which is CSG's home office. Contacts are 'Library' and 'Multipub Contact'. Its 20 opps are all 'Chiesa Shahinian & Giantomasi PC 681ONL/681EBR30' or 'CHIESA SHAHINIAN GIANTOMASI 574/610/634/637...' subscriptions. Same firm."
19,duplicate,1,name_exact,1,001Px00000Vvo8DIAR,Clark Hill PLC,www.clarkhill.com,2021-01-20T19:35:08.000+0000,34,925,215,001Px00000cAaxFIAS,Clark Hill PLC,,2026-01-23T16:59:35.000+0000,Kieran Hansen,N,1,3,5,duplicate,high,"The name matches exactly, the Website is blank and Kieran Hansen created it on 2026-01-23. Its one child Office is in Detroit (Clark Hill's HQ) and all 3 contacts use @clarkhill.com emails, so it is a redundant Firm record.",Y,duplicate,"I confirmed this in the live data. The candidate has the exact name 'Clark Hill PLC', a blank Website, no Industry, and was created 2026-01-23 by Kieran Hansen. Its one child Office (001Px00000cAmrxIAC) is in Detroit, MI, which is Clark Hill's HQ. It has 3 contacts on @clarkhill.com (Smithson, Collier, Anderson) and 5 closed-won SWOOGO award-delegate opportunities named '... - Clark Hill PLC - Leslie Smithson'. It is a redundant Firm record for the same firm."
20,duplicate,1,name_exact,1,001Px00000VvvMKIAZ,Clifford Chance LLP,www.cliffordchance.com,2021-01-20T19:35:25.000+0000,43,3313,3672,001Px00000heZGFIA2,Clifford Chance,,2026-07-25T18:09:21.000+0000,Kieran Hansen,N,1,4,0,duplicate,high,"It is the same name without 'LLP', has a blank Website and is from the 2026-07-25 Kieran Hansen batch. Its London Office holds contacts with @cliffordchance.com emails (a partner and a trainee solicitor), so it is a redundant Firm record.",Y,duplicate,"I confirmed this. The candidate 'Clifford Chance' (created 2026-07-25 by Kieran Hansen) has a blank Website and no Industry. Its one Office is in London, which is Clifford Chance's HQ. It has 4 contacts: 3 on @cliffordchance.com (a Partner, a Trainee Solicitor and one other) and one on a typo domain, @clifford.chance.com. It is the same firm without the 'LLP' suffix, so it is a redundant Firm record."
21,unrelated,1,name_exact,1,0016g00001ANrupAAD,Clyde & Co LLP,www.clydeco.com,2021-01-20T19:25:53.000+0000,77,3458,1393,0014L00000k4rAHQAY,Clyde Co Inc,www.clydeinc.com,2023-05-23T17:15:08.000+0000,Kieran Hansen,N,1,0,0,unrelated,high,"Its website is www.clydeinc.com, its Industry is 'Business Support Services' and its Office is in Orem, Utah. That fits Clyde Companies Inc, a Utah industrial group (general knowledge), not the law firm Clyde & Co; the names only collide after normalisation.",Y,unrelated,"I confirmed this. The Website is www.clydeinc.com and the Industry is 'Business Support Services'. Its one Office is in Orem, Utah, and it has no contacts or opportunities. From general knowledge, this is Clyde Companies Inc, a Utah construction/materials group. It is not the law firm Clyde & Co; the names only collide once '&' and suffixes are stripped."
22,duplicate,1,name_exact,1,001Px00000VvpdsIAB,Cole Schotz P.C.,www.coleschotz.com,2021-01-20T19:36:02.000+0000,9,135,186,001Px00000j5KYFIA2,Cole Schotz Pc,,2026-08-20T18:15:42.000+0000,Kieran Hansen,N,1,1,9,duplicate,high,"It differs from 'Cole Schotz P.C.' only in case and punctuation, has a blank Website and is from the 2026-08-20 batch. Its Office is in Hackensack, NJ (Cole Schotz's HQ) and its contact is the coleschotz invoice-capture address, so it is a redundant Firm record.",Y,duplicate,"I confirmed this. 'Cole Schotz Pc' differs from 'Cole Schotz P.C.' only in case and punctuation. It has a blank Website and was created in the 2026-08-20 batch. Its one Office is in Hackensack, NJ, which is Cole Schotz's HQ. Its contact uses @concursolutions.com, the firm's own invoice-capture mailbox. Its 9 opportunities are 'COLE SCHOTZ PC JEMPL20-25' renewals. It is a redundant Firm record for the same firm."
23,unrelated,1,name_exact,1,001Px00000Vvg80IAB,Cooley LLP,www.cooley.com,2021-01-20T19:37:27.000+0000,29,2432,874,001Px00000Xs1V6IAJ,Cooley Law Firm,www.jclaw.org,2025-12-22T11:03:08.000+0000,Kieran Hansen,N,1,1,2,unrelated,high,"Website www.jclaw.org, single office in Douglasville, Georgia, and its only contact is Jayla Cooley, Managing Partner (@jclaw.org). This is a small Georgia firm named after its founder. It only shares the word 'Cooley' with Cooley LLP (cooley.com), which has no Georgia office in the CRM.",Y,unrelated,"Confirmed live: Firm 'Cooley Law Firm' has website www.jclaw.org and one office in Douglasville, GA (jclaw.org). Its only contact is Jayla Cooley, Managing Partner (@jclaw.org), and its opps are 'Daily Report Online' subscriptions in her name. Cooley LLP's 29 child offices include nothing in Georgia. This is a small local firm that only shares the surname."
24,duplicate,1,name_exact,1,001Px00000VvMI4IAN,Covington & Burling LLP,www.cov.com,2021-01-20T19:38:09.000+0000,16,2143,1388,001Px00000heTydIAE,Covington & Burling,,2026-07-25T18:09:30.000+0000,Kieran Hansen,N,1,1,0,duplicate,high,"The name is the same firm without the 'LLP' suffix, created in the 2026-07-25 batch with a blank website. It has one NYC office, and its contact is an eDiscovery Analyst with a cov.con email (a typo of cov.com). The G300 record already has a New York office. This is a redundant Firm record.",Y,duplicate,"Confirmed, with stronger evidence: its only contact, David Brandewiede (@cov.con, NYC), also exists under the G300's own New York office 0016g00001EYHMhAAP as @cov.com, Senior Litigation Analyst. The name differs only by the missing 'LLP'. The record came from the 2026-07-25 batch with a blank website. It is a redundant Firm record."
25,duplicate,1,name_exact,1,0016g00001ANyMkAAL,Cozen O'Connor,www.cozen.com,2021-01-20T19:38:15.000+0000,40,1156,2809,001Px00000ihTpiIAE,Cozen O'Connor,,2026-06-25T15:33:04.000+0000,Kieran Hansen,N,1,1,0,duplicate,high,"The name matches the G300 record exactly. It was created 2026-06-25 by Kieran Hansen with a blank website, and its only contact has an @cozen.com email. The office in Center Sandwich, NH is probably that person's remote location. This is a redundant Firm record.",Y,duplicate,"Confirmed: exact name 'Cozen O'Connor', created 2026-06-25 by Kieran Hansen with a blank website. It has one Center Sandwich, NH office, and its only contact is Rebecca Buchanan-Mackie with a @cozen.com email. The G300 has 40 offices that are all Cozen O'Connor, and a remote-worker location explains the NH address. It is a redundant Firm record."
26,duplicate,1,name_exact,1,001Px00000VvVJ5IAN,DLA Piper,www.dlapiper.com,2021-01-20T19:42:32.000+0000,135,9185,3428,001Px00000heQ0DIAU,DLA Piper,,2026-07-25T18:13:47.000+0000,Kieran Hansen,N,1,6,0,duplicate,high,"The name matches exactly. It was created in the 2026-07-25 batch with its one office in Stockholm, and its contacts use @se.dlapiper.com and @dlapiper.com emails. The G300 record already has a Stockholm office ('Advokatfirma DLA Piper Sweden KB'), so the CRM treats Sweden as part of the G300 firm. This is a redundant Firm record.",Y,duplicate,"Confirmed: exact name 'DLA Piper', 2026-07-25 batch, one Stockholm office. The G300 already holds 'Advokatfirma DLA Piper Sweden KB' Stockholm offices, and those carry the same people: Peter Ihrfelt, Björn Sjöberg and Lisa Brink all appear there with @se.dlapiper.com or @dlapiper.com emails. It is a redundant Firm record of the G300 firm, not a separately named affiliate."
27,duplicate,1,name_exact,1,001Px00000VvVJ5IAN,DLA Piper,www.dlapiper.com,2021-01-20T19:42:32.000+0000,135,9185,3428,001Px00000hecKeIAI,DLA Piper,,2026-07-25T18:14:30.000+0000,Kieran Hansen,N,1,1,0,duplicate,high,"The name matches exactly. It was created in the 2026-07-25 batch with one Atlanta office. The G300 record already has an Atlanta office ('DLA Piper LLP (US)'). Its only contact's email (@usdlapiper.com) looks wrong, but the record is plainly the same firm.",Y,duplicate,"Confirmed: exact name, 2026-07-25 batch, one Atlanta office. Its contact Nima Adabi (@usdlapiper.com, a typo) also exists twice under the G300's Atlanta office 'DLA Piper LLP (US)' as @us.dlapiper.com and @dlapiper.com. It is a redundant Firm record."
28,duplicate,1,name_exact,1,0016g00001ANzSKAA1,Davis Polk & Wardwell LLP,www.davispolk.com,2021-01-20T19:40:24.000+0000,15,1312,1331,001Px00000j5ODlIAM,Davis Polk Wardwell,,2026-08-20T18:15:52.000+0000,Kieran Hansen,N,1,1,15,duplicate,high,"The name is Davis Polk & Wardwell without the '&'. The record was created in the 2026-08-20 Kieran Hansen batch with a blank website, and its single Office is in New York. Its only contact uses a dpw.com email, which (from general knowledge) is Davis Polk's legacy domain.",Y,duplicate,"I checked this live. Firm 001Px00000j5ODlIAM 'Davis Polk Wardwell' has a blank website and was created 2026-08-20 18:15:52 by Kieran Hansen. Its single Office 001Px00000j5R9NIAU is at 450 Lexington Ave, New York, which (general knowledge) is Davis Polk's headquarters. Its contact Oam Singh uses @dpw.com, Davis Polk's legacy domain (general knowledge). Its 15 opportunities are 'DAVIS POLK WARDWELL NMOTP/ONLYLMA/600BOOK' firm orders from 2019-2021. It is the same firm with the '&' and LLP dropped, so it is a redundant Firm record."
29,duplicate,1,name_exact,1,0016g00001ANzenAAD,Debevoise & Plimpton LLP,www.debevoise.com,2021-01-20T19:40:50.000+0000,13,1458,1938,001Px00000heaXwIAI,Debevoise & Plimpton,,2026-07-25T18:09:38.000+0000,Kieran Hansen,N,1,2,0,duplicate,high,"Same firm name without the LLP suffix, from the 2026-07-25 batch with a blank website. Its single Office is in Washington, and its contacts are Debevoise lawyers (@debevoise.com, plus one misspelled debevosie.com).",Y,duplicate,"I checked this live. Firm 001Px00000heaXwIAI 'Debevoise & Plimpton' has a blank website and was created 2026-07-25 by Kieran Hansen. Its single Office 001Px00000heW6bIAE is at 801 Pennsylvania Ave NW, Washington DC, which (general knowledge) is Debevoise's DC office. Its contacts are Lillian Lara (@debevoise.com, Associate) and Courtney Barger (@debevosie.com, a typo of debevoise.com, Lawyer). It is the same firm without LLP, a redundant Firm record."
30,duplicate,1,name_exact,1,0016g00001ANzenAAD,Debevoise & Plimpton LLP,www.debevoise.com,2021-01-20T19:40:50.000+0000,13,1458,1938,001Px00000heW9zIAE,Debevoise & Plimpton LLP,,2026-07-25T18:08:30.000+0000,Kieran Hansen,N,1,3,0,duplicate,high,"The name exactly matches the G300 firm. It comes from the 2026-07-25 batch with a blank website and a single New York Office. Two of its contacts use @debevoise.com emails (a Partner and a Counsel); a third has a non-firm email (Jessica Barkoff, barkoffusa.com).",Y,duplicate,"I checked this live. Firm 001Px00000heW9zIAE 'Debevoise & Plimpton LLP' has the exact G300 name, a blank website, and was created 2026-07-25 by Kieran Hansen. Its single Office 001Px00000heW6cIAE is at 66 Hudson Boulevard, New York, which (general knowledge) is Debevoise's current NY headquarters. Two contacts use @debevoise.com: Megan Bannigan (Partner) and Kate Saba (Counsel). The third, Jessica Barkoff (barkoffusa.com), is titled 'Judge Mukasey's daughter'; from general knowledge, Michael Mukasey is of counsel at Debevoise, so she is linked to the firm. This is a redundant Firm record."
31,duplicate,1,name_exact,1,0016g00001ANzenAAD,Debevoise & Plimpton LLP,www.debevoise.com,2021-01-20T19:40:50.000+0000,13,1458,1938,001Px00000heaUFIAY,Debevoise & Plimpton LLP,,2026-07-25T18:09:28.000+0000,Kieran Hansen,N,1,4,1,duplicate,high,"The name exactly matches the G300 firm. It comes from the 2026-07-25 batch with a blank website and a single New York Office, and its contacts are Debevoise staff with @debevoise.com emails. It is also a duplicate of the other candidates in rows 29 and 30.",Y,duplicate,"I checked this live. Firm 001Px00000heaUFIAY 'Debevoise & Plimpton LLP' has the exact G300 name, a blank website, and was created 2026-07-25 by Kieran Hansen. Its single Office 001Px00000heW6dIAE is at 66 Hudson Blvd, New York, Debevoise's HQ. It has 4 contacts, all Debevoise staff: mcone@, arekkali@ and @debevoise.com, plus @consultant.debevoise.com. Its one opportunity is a Legalweek 2025 ticket for Cierra Bakhsh. It is a redundant Firm record, and it also duplicates rows 29 and 30."
